BUDGET FISCAL YEAR,FTYP,FUNDTYPE,APPR,APPROPRIATION,Service Number,SERVICE,OBJECTGROUP,EXPENDITURE CLASSIFICATION,CURRENT BUDGET,ENCUMBRANCE,EXPENSES,ENCUMB&EXPENSE
2016,OTHO,Other Operating Fund,0286PER,Wellness Program Fund,5.R,Wellness Program,PS,Personnel Services,428603,0,352342.18,352342.18
2016,GNFD,General Fund,0001PNV,Planning and Urban Design GF,2.2799999999999998,Neighborhood Vitality,PS,Personnel Services,869595,0,575005.03,575005.03
2016,GNFD,General Fund,0001AUD,City Auditor's Office GF,5.08,"Audits, Attestations and Investigations",PS,Personnel Services,2728685,0,2723120.96,2723120.96
2016,GNFD,General Fund,0001CTJ,Judiciary GF,1.04,Community Court,QV,Contractual & Other Services,150,0,334.15,334.15
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.2200000000000002,GIS Mapping for Private Development,PS,Personnel Services,643981,0,471689.21,471689.21
2016,GNFD,General Fund,0001FHO,Mgmt Services - Fair Housing,5.31,Fair Housing and Human Rights Compliance,PS,Personnel Services,113401,0,117613.64,117613.64
2016,GNFD,General Fund,0001LIB,Library GF,4.08,"Literacy Initiatives, Education & Community Engagement",PS,Personnel Services,807170,0,834065.26,834065.26
2016,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.1100000000000003,Public Art for Dallas,PS,Personnel Services,336954,0,275745.58,275745.58
2016,GNFD,General Fund,0001CRO,Mgmt Services - Resiliency Office,2.37,Resiliency Office,PS,Personnel Services,282258,0,274164.87,274164.87
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,2.1800000000000002,Fire Inspection for New Construction,RE,Reimbursements,-1000000,0,-2000712.16,-2000712.16
2016,GNFD,General Fund,0001STS,Street Services GF,2.38,Rights-of-Way Maintenance Contracts and Inspections Group,PS,Personnel Services,1609824,0,1510801.68,1510801.68
2016,GNFD,General Fund,0001CVS,Civil Service GF,5.0599999999999996,Applicant Processing - Uniform,PS,Personnel Services,502154,0,491399.45,491399.45
2016,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.C,Business Technology Services,PS,Personnel Services,5475057,0,4325788.95,4325788.95
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.05,City Facility Services,PS,Personnel Services,91597,0,73735.65,73735.65
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.08,Construction Plan Review and Permitting,RE,Reimbursements,0,0,-10870.67,-10870.67
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.0099999999999998,Area Redevelopment,PS,Personnel Services,651085,0,611228.84,611228.84
2016,GNFD,General Fund,0001EBS,Building Services GF,2.0299999999999998,Bullington Truck Terminal and Thanksgiving Square,PS,Personnel Services,42931,0,44502.99,44502.99
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,2.2999999999999998,Operation & Maintenance of Fair Park,RC,Capital Outlay,15000,0,30745,30745
2016,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,3.22,Stormwater Regulations & Enforcement,PS,Personnel Services,4011544,0,3677345.41,3677345.41
2016,GNFD,General Fund,0001CPE,Mgmt Services - Strategic Initiatives,5.13,Center for Performance Excellence,PS,Personnel Services,932006,0,959517.15,959517.15
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.18,City GIS Services,PS,Personnel Services,1252868,0,1238315.85,1238315.85
2016,GNFD,General Fund,0001PBW,Public Works GF,2.2599999999999998,Interagency and Transportation Administration,PS,Personnel Services,1350819,0,1233513.98,1233513.98
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.I,Fuel Procurement and Management,PS,Personnel Services,675763,0,757618.49,757618.49
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,3.07,Community Prosecution & Community Courts,PS,Personnel Services,1593912,0,1432888.57,1432888.57
2016,GNFD,General Fund,0001PNV,Planning and Urban Design GF,9.99,Department Support,PS,Personnel Services,570188,0,528422.26,528422.26
2016,GNFD,General Fund,0001CRO,Mgmt Services - Resiliency Office,2.37,Resiliency Office,RE,Reimbursements,0,0,-213733.48,-213733.48
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.15,Engineering & Inspection Review for Private Development,RE,Reimbursements,-526899,0,-526899,-526899
2016,GNFD,General Fund,0001CVS,Civil Service GF,5.2,Civil Service Board Administration/Employee Appeals Process,PS,Personnel Services,358465,0,364787.18,364787.18
2016,GNFD,General Fund,0001PBW,Public Works GF,3.23,Underground Storage Tank Replacement and Inspection,PS,Personnel Services,77075,0,76646.75,76646.75
2016,GNFD,General Fund,0001OFS,Non-Departmental,5.46,Non-Departmental,RE,Reimbursements,0,0,-50115,-50115
2016,GNFD,General Fund,0001DEV,Sustainable Dev and Construction GF,2.23,Historic Preservation,QV,Contractual & Other Services,113501,0,88689.85,88689.85
2016,GNFD,General Fund,0001DEV,Sustainable Dev and Construction GF,2.02,Authorized Hearings,PS,Personnel Services,335055,0,338335.66,338335.66
2016,GNFD,General Fund,0001ADM,Mgmt Services - Admin,5.01,311 Customer Service Center,QV,Contractual & Other Services,0,101.7,1054.85,1156.55
2016,GNFD,General Fund,0001CCO,City Controller's Office GF,5.24,Deferred Compensation,PS,Personnel Services,164648,0,164427.74,164427.74
2016,GNFD,General Fund,0001CCO,City Controller's Office GF,5.24,Deferred Compensation,QM,Supplies & Materials,2000,0,670.69,670.69
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,9.99,Department Support,PS,Personnel Services,358430,0,279386.46,279386.46
2016,GNFD,General Fund,0001POM,Business Development & Procurement GF,2.5099999999999998,Vendor Development,PS,Personnel Services,195930,0,191899.31,191899.31
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.4500000000000002,Subdivision Plat Review,QM,Supplies & Materials,5475,0,5079.53,5079.53
2016,GNFD,General Fund,0001CVS,Civil Service GF,5.04,Analysis/Development and Validation,QM,Supplies & Materials,10400,0,19655.3,19655.3
2016,GNFD,General Fund,0001ECO,Economic Development GF,9.99,Department Support,PS,Personnel Services,884013,0,879007.91,879007.91
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.0999999999999996,"Planning, Design, Construction & EMS and Environ Compliance",RE,Reimbursements,-100000,0,-144787.12,-144787.12
2016,GNFD,General Fund,0001CCO,City Controller's Office GF,9.99,Department Support,PS,Personnel Services,172258,0,178867.3,178867.3
2016,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,3.22,Stormwater Regulations & Enforcement,RC,Capital Outlay,203120,0,52484.89,52484.89
2016,GNFD,General Fund,0001LEW,Jail Contract,1.1599999999999999,Lew Sterrett Jail Contract,QV,Contractual & Other Services,7557391,0,7557390.96,7557390.96
2016,GNFD,General Fund,0001CTJ,Judiciary GF,1.05,Court Security,PS,Personnel Services,755210,0,928724.85,928724.85
2016,GNFD,General Fund,0001LIB,Library GF,4.0599999999999996,Library Materials & Collection Management,PS,Personnel Services,1069420,0,998020.13,998020.13
2016,GNFD,General Fund,0001OFS,Non-Departmental,5.35,General Obligation Commercial Paper and Master Lease Program,QV,Contractual & Other Services,14697733,0,9927550.77,9927550.77
2016,GNFD,General Fund,0001CCS,Code Compliance GF,3.1,Consumer Health,RE,Reimbursements,-204560,0,-204560,-204560
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.26,DWU General Expense,RC,Capital Outlay,2157771,0,2207570.94,2207570.94
2016,GNFD,General Fund,0001PER,Human Resources GF,9.99,Department Support,PS,Personnel Services,437015,0,458807.5,458807.5
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.11,Dallas Film Commission,PS,Personnel Services,283095,0,206366.97,206366.97
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.53,Vital Statistics,RE,Reimbursements,-1037683,0,-827363.72,-827363.72
2016,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.06,Dallas City Marshal,RC,Capital Outlay,70000,0,43348.66,43348.66
2016,INSV,Internal Service Fund,0199POM,Express Business Center POM,5.B,Business Services,TR,Transfers Out,78920,0,37226.36,37226.36
2016,GNFD,General Fund,0001PBW,Public Works GF,9.99,Department Support,PS,Personnel Services,1163590,0,1192202.28,1192202.28
2016,GNFD,General Fund,0001DPD,Police Department GF,1.25,Police Intelligence,PS,Personnel Services,9624859,0,7557620.51,7557620.51
2016,GNFD,General Fund,0001EBS,Building Services GF,9.99,Department Support,PS,Personnel Services,601118,0,925984.55,925984.55
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.33,Private Development Records and Archival Library,QM,Supplies & Materials,8159,0,8621.31,8621.31
2016,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.0999999999999996,Boards and Commissions Support,QM,Supplies & Materials,1700,0,1182.64,1182.64
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,5.34,General Counsel,PS,Personnel Services,3860515,0,3911342.54,3911342.54
2016,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.5,Records Management,PS,Personnel Services,265227,0,273786.12,273786.12
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.24,Wastewater Collection,PS,Personnel Services,12649858,0,12019386.02,12019386.02
2016,GNFD,General Fund,0001DEV,Sustainable Dev and Construction GF,2.02,Authorized Hearings,QM,Supplies & Materials,10625,0,1179.51,1179.51
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.16,Express Plan Review,QM,Supplies & Materials,16400,0,6736.95,6736.95
2016,GNFD,General Fund,0001EBS,Building Services GF,1.32,Security Service for City Facilities,PS,Personnel Services,3076416,0,3343214.75,3343214.75
2016,GNFD,General Fund,0001PNV,Planning and Urban Design GF,2.27,Mobility Planning,PS,Personnel Services,791641,0,424274.08,424274.08
2016,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.0999999999999996,Boards and Commissions Support,PS,Personnel Services,255053,0,260203.55,260203.55
2016,GNFD,General Fund,0001PBW,Public Works GF,2.41,Street Cut and Right-of-Way Management (Cut Control),PS,Personnel Services,565666,0,432253.79,432253.79
2016,GNFD,General Fund,0001DEV,Sustainable Dev and Construction GF,2.23,Historic Preservation,RE,Reimbursements,-74033,0,-27907.56,-27907.56
2016,GNFD,General Fund,0001FHO,Mgmt Services - Fair Housing,5.31,Fair Housing and Human Rights Compliance,QM,Supplies & Materials,400,0,253.02,253.02
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,1.19,Municipal Prosecution,PS,Personnel Services,1709891,0,1633571.53,1633571.53
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1399999999999999,Inspection and Life Safety Education,RE,Reimbursements,-74275,0,-440047.95,-440047.95
2016,GNFD,General Fund,0001ICT,Mgmt Services - Internal Control Task Force,5.42,Internal Control Task Force,PS,Personnel Services,414065,0,367938.88,367938.88
2016,GNFD,General Fund,0001CCS,Code Compliance GF,2.36,Regulation and Enforcement of For Hire Transportation,PS,Personnel Services,921382,0,778890.62,778890.62
2016,GNFD,General Fund,0001PBW,Public Works GF,3.01,Air Quality Compliance,RE,Reimbursements,-525117,0,-525027.24,-525027.24
2016,GNFD,General Fund,0001HOU,Housing GF,3.08,Community/Senior Services,RE,Reimbursements,-50000,0,-67703.79,-67703.79
2016,GNFD,General Fund,0001DPD,Police Department GF,1.22,Police Community Outreach,PS,Personnel Services,1670262,0,1481332.29,1481332.29
2016,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,9.99,Department Support,PS,Personnel Services,0,0,265659.92,265659.92
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,5.25,DFW International Airport Legal Counsel,PS,Personnel Services,554501,0,559767.62,559767.62
2016,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.K,Internal Computer Support,PS,Personnel Services,3163653,0,2658658.24,2658658.24
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1299999999999999,Fire-Rescue Equipment Maintenance and Supply,RE,Reimbursements,-133017,0,-132903.04,-132903.04
2016,GNFD,General Fund,0001EBS,Building Services GF,5.29,Energy Procurement and Monitoring,QM,Supplies & Materials,2883021,0,2538952.85,2538952.85
2016,GNFD,General Fund,0001LIB,Library GF,4.07,Library Operations & Public Service,RC,Capital Outlay,0,0,44502.48,44502.48
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.D,City Fleet Asset Management,RE,Reimbursements,0,0,-2303995.1,-2303995.1
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.2,Residential Refuse Collection,RC,Capital Outlay,0,0,179170,179170
2016,GNFD,General Fund,0001CCS,Code Compliance GF,3.17,Neighborhood Code Compliance Services,RE,Reimbursements,-1215858,0,-1119296.44,-1119296.44
2016,GNFD,General Fund,0001DPD,Police Department GF,1.21,Police Administrative Support,RC,Capital Outlay,0,0,7979,7979
2016,GNFD,General Fund,0001EBS,Building Services GF,1.32,Security Service for City Facilities,RE,Reimbursements,-436425,0,-1116805.62,-1116805.62
2016,GNFD,General Fund,0001PBW,Public Works GF,5.43,Land Surveying Services,PS,Personnel Services,645554,0,721273.83,721273.83
2016,GNFD,General Fund,0001EBS,Building Services GF,2.0299999999999998,Bullington Truck Terminal and Thanksgiving Square,QV,Contractual & Other Services,422299,10000,386293.9,396293.9
2016,GNFD,General Fund,0001TWM,Trinity Watershed Management GF,2.4900000000000002,Trinity River Corridor Operations,RC,Capital Outlay,25241,0,36741.8,36741.8
2016,GNFD,General Fund,0001CTS,Court and Detention Services GF,3.15,Illegal Dump Team - Criminal Investigations and Arrests,RE,Reimbursements,-913180,0,-913180,-913180
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.53,Vital Statistics,PS,Personnel Services,623708,0,572851.96,572851.96
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.26,Water Conservation,PS,Personnel Services,847315,0,952999.1,952999.1
2016,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.Q,Strategic Technology Management,RE,Reimbursements,-2338364,0,-1643102.56,-1643102.56
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,9.99,Department Support,PS,Personnel Services,2426857,0,2586673.81,2586673.81
2016,GNFD,General Fund,0001CTS,Court and Detention Services GF,3.15,Illegal Dump Team - Criminal Investigations and Arrests,PS,Personnel Services,809023,0,802569.18,802569.18
2016,GNFD,General Fund,0001CVS,Civil Service GF,5.05,Applicant Processing - Civilian,QV,Contractual & Other Services,96269,0,173279.6,173279.6
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.5299999999999998,Water Production and Delivery,PS,Personnel Services,33244929,0,35056284.2,35056284.2
2016,GNFD,General Fund,0001HOU,Housing GF,5.37,Housing Management/Contract Support,RE,Reimbursements,-131353,0,-36753.13,-36753.13
2016,GNFD,General Fund,0001EBS,Building Services GF,2.0299999999999998,Bullington Truck Terminal and Thanksgiving Square,QM,Supplies & Materials,193158,0,70417.84,70417.84
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,9.99,Department Support,QV,Contractual & Other Services,0,0,2362.33,2362.33
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.D,City Fleet Asset Management,PS,Personnel Services,1119996,0,1079983.85,1079983.85
2016,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,3.21,Storm Drainage Management Fund,QM,Supplies & Materials,0,0,4171.46,4171.46
2016,GNFD,General Fund,0001PER,Human Resources GF,9.99,Department Support,QV,Contractual & Other Services,0,0,1523.58,1523.58
2016,GNFD,General Fund,0001CVS,Civil Service GF,5.2,Civil Service Board Administration/Employee Appeals Process,QM,Supplies & Materials,2397,0,2657.82,2657.82
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.12,Recreation Services,RE,Reimbursements,-1025000,0,-1198136.06,-1198136.06
2016,GNFD,General Fund,0001DPD,Police Department GF,1.26,Police Investigation of Vice Related Crimes,PS,Personnel Services,3482967,0,3760298.82,3760298.82
2016,GNFD,General Fund,0001CVS,Civil Service GF,5.0599999999999996,Applicant Processing - Uniform,QV,Contractual & Other Services,56096,0,20926.14,20926.14
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,3.13,"Environ Enforcement, Compliance, and Support (Legal Service)",QV,Contractual & Other Services,13485,0,3658.75,3658.75
2016,GNFD,General Fund,0001ELE,Elections,5.27,Elections,PS,Personnel Services,87864,0,87392.29,87392.29
2016,GNFD,General Fund,0001CCS,Code Compliance GF,3.12,Dallas Animal Services,RE,Reimbursements,0,0,-13988,-13988
2016,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.07,Archives,QV,Contractual & Other Services,18342,0,4285.32,4285.32
2016,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.0999999999999996,Boards and Commissions Support,QV,Contractual & Other Services,83404,0,12927.17,12927.17
2016,GNFD,General Fund,0001PBW,Public Works GF,3.23,Underground Storage Tank Replacement and Inspection,QV,Contractual & Other Services,42534,0,35795.08,35795.08
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,9.99,Department Support,PS,Personnel Services,2885660,0,3450664.95,3450664.95
2016,GNFD,General Fund,0001CCO,City Controller's Office GF,5.32,Financial Reporting,QM,Supplies & Materials,5650,169,29168.63,29337.63
2016,GNFD,General Fund,0001STS,Street Services GF,2.44,Street Repair Division - Concrete,TR,Transfers Out,6332000,0,6320000,6320000
2016,GNFD,General Fund,0001CCS,Code Compliance GF,2.36,Regulation and Enforcement of For Hire Transportation,RE,Reimbursements,-168168,0,-147402.46,-147402.46
2016,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.5,Union Station,QM,Supplies & Materials,367000,0,287733.77,287733.77
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.08,"EMS Administration, Contracts, and Community Health",PS,Personnel Services,11767217,0,6047090.59,6047090.59
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,3.13,"Environ Enforcement, Compliance, and Support (Legal Service)",RE,Reimbursements,-96308,0,-73578.13,-73578.13
2016,GNFD,General Fund,0001AGE,Mgmt Services - Council Agenda,5.15,City Agenda Process,QV,Contractual & Other Services,8667,0,7945.28,7945.28
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.55,Water Utilities Customer Account Services,PS,Personnel Services,14282208,0,14764956.08,14764956.08
2016,GNFD,General Fund,0001CCO,City Controller's Office GF,5.47,Payroll,QM,Supplies & Materials,8476,0,4934.33,4934.33
2016,GNFD,General Fund,0001PER,Human Resources GF,5.39,Human Resource Consulting,PS,Personnel Services,1969179,0,1959423.44,1959423.44
2016,GNFD,General Fund,0001CTJ,Judiciary GF,1.03,Civil Adjudication Court,QV,Contractual & Other Services,2065,0,620,620
2016,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.23,Customer Service,QV,Contractual & Other Services,32745,0,4339.61,4339.61
2016,GNFD,General Fund,0001HOU,Housing GF,5.37,Housing Management/Contract Support,PS,Personnel Services,794687,0,936631.54,936631.54
2016,GNFD,General Fund,0001BAC,Mgmt Services - Boards and Commissions,5.09,Boards and Commissions Liaison,QV,Contractual & Other Services,12441,0,10914.4,10914.4
2016,EFOP,Enterprise Operating Fund,0140OCA,Municipal Radio OCA,4.13,WRR Municipal Radio Classical Music,PS,Personnel Services,1251226,0,1043163.3,1043163.3
2016,GNFD,General Fund,0001CCS,Code Compliance GF,3.18,Neighborhood Nuisance Abatement,RE,Reimbursements,-893597,0,-1074496.26,-1074496.26
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.2200000000000002,GIS Mapping for Private Development,QV,Contractual & Other Services,182829,0,58213.42,58213.42
2016,GNFD,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,3.14,Environmental Quality,RE,Reimbursements,-1878701,0,-1423946.02,-1423946.02
2016,OTHO,Other Operating Fund,0278PER,Employee Benefits Administration,5.J,HR Benefits Administration Services,QV,Contractual & Other Services,436515,0,225384.41,225384.41
2016,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,2.19,Flood Control,RC,Capital Outlay,50000,0,254420.85,254420.85
2016,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.02,City Detention Center,QV,Contractual & Other Services,85066,0,34194.88,34194.88
2016,OTHO,Other Operating Fund,0195ORM,Office of Risk Management,5.P,Risk Management Services,RE,Reimbursements,-416623,0,-231917.76,-231917.76
2016,GNFD,General Fund,0001STS,Street Services GF,2.44,Street Repair Division - Concrete,RE,Reimbursements,-1975063,0,-6354503.48,-6354503.48
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.34,Private Development Survey,QV,Contractual & Other Services,78360,0,7958.21,7958.21
2016,GNFD,General Fund,0001CPE,Mgmt Services - Strategic Initiatives,5.13,Center for Performance Excellence,QM,Supplies & Materials,6696,0,8920.69,8920.69
2016,GNFD,General Fund,0001AUD,City Auditor's Office GF,5.08,"Audits, Attestations and Investigations",QM,Supplies & Materials,28140,0,29929.24,29929.24
2016,GNFD,General Fund,0001PBW,Public Works GF,1.01,Adjudication Office,QM,Supplies & Materials,9550,0,9275.31,9275.31
2016,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.02,City Detention Center,PS,Personnel Services,1385333,0,1464127.05,1464127.05
2016,GNFD,General Fund,0001STS,Street Services GF,2.44,Street Repair Division - Concrete,PS,Personnel Services,8270145,0,7508236.15,7508236.15
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,9.99,Department Support,QV,Contractual & Other Services,0,0,243143.02,243143.02
2016,GNFD,General Fund,0001DPD,Police Department GF,1.27,Police Investigations of Narcotics Related Crimes,PS,Personnel Services,12725207,0,13508065.67,13508065.67
2016,GNFD,General Fund,0001PNV,Planning and Urban Design GF,2.3199999999999998,Planning and Design Studio,QM,Supplies & Materials,22640,0,16758.91,16758.91
2016,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.1,Dallas Convention Center,TR,Transfers Out,18201620,0,15822258.37,15822258.37
2016,GNFD,General Fund,0001FHO,Mgmt Services - Fair Housing,5.31,Fair Housing and Human Rights Compliance,QV,Contractual & Other Services,23023,0,19900.21,19900.21
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.4500000000000002,Subdivision Plat Review,PS,Personnel Services,455867,0,428077.44,428077.44
2016,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.1100000000000003,Public Art for Dallas,RE,Reimbursements,-266429,0,-176838.22,-176838.22
2016,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,3.21,Storm Drainage Management Fund,TR,Transfers Out,8052439,0,8441329.96,8441329.96
2016,GNFD,General Fund,0001DEV,Sustainable Dev and Construction GF,2.23,Historic Preservation,PS,Personnel Services,426814,0,486809.64,486809.64
2016,GNFD,General Fund,0001HOU,Housing GF,3.09,Comprehensive Homeless Outreach,PS,Personnel Services,1694260,0,1534972.66,1534972.66
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.E,City Fleet Maintenance and Repair Services,RE,Reimbursements,-353376,0,-266673.95,-266673.95
2016,GNFD,General Fund,0001CCS,Code Compliance GF,3.12,Dallas Animal Services,RC,Capital Outlay,248914,257047,168734.47,425781.47
2016,GNFD,General Fund,0001POM,Business Development & Procurement GF,5.1100000000000003,Business Inclusion & Development Compliance Monitoring,QV,Contractual & Other Services,85562,0,50615.97,50615.97
2016,GNFD,General Fund,0001PNV,Planning and Urban Design GF,2.27,Mobility Planning,QM,Supplies & Materials,6200,0,18137.81,18137.81
2016,GNFD,General Fund,0001CCO,City Controller's Office GF,5.12,Cash and Debt Management,PS,Personnel Services,527975,2677.2,522321.23,524998.43
2016,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.03,Cultural Services Contracts,QM,Supplies & Materials,6125,0,795083.51,795083.51
2016,GNFD,General Fund,0001EBS,Building Services GF,5.29,Energy Procurement and Monitoring,QV,Contractual & Other Services,185650,0,121549.71,121549.71
2016,GNFD,General Fund,0001ICT,Mgmt Services - Internal Control Task Force,5.42,Internal Control Task Force,QM,Supplies & Materials,3320,0,8028.97,8028.97
2016,GNFD,General Fund,0001DPD,Police Department GF,9.99,Department Support,PS,Personnel Services,8773015,0,9661486.56,9661486.56
2016,GNFD,General Fund,0001IGS,Mgmt Services - Intergovernmental Services,5.41,Intergovernmental Services,QM,Supplies & Materials,6755,0,4496.58,4496.58
2016,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.02,City Detention Center,QM,Supplies & Materials,48147,392.7,34032.45,34425.15
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1100000000000001,Fire Investigation & Explosive Ordnance Disposal,PS,Personnel Services,3674697,0,3846895.6,3846895.6
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.33,Private Development Records and Archival Library,PS,Personnel Services,740790,0,750707.92,750707.92
2016,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,9.99,Department Support,RE,Reimbursements,0,0,-1583087,-1583087
2016,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.0199999999999996,City-Owned Cultural Venues,PS,Personnel Services,2996061,0,2898366.77,2898366.77
2016,GNFD,General Fund,0001PNV,Planning and Urban Design GF,9.99,Department Support,QM,Supplies & Materials,17611,0,18360.97,18360.97
2016,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.K,Internal Computer Support,TR,Transfers Out,469048,0,4859488.34,4859488.34
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.16,Landfill Services,RC,Capital Outlay,0,6200,332278.77,338478.77
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.17,Field Inspections of Private Development Construction Sites,PS,Personnel Services,6617132,0,5385375.69,5385375.69
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,9.99,Department Support,PS,Personnel Services,1148042,0,1143162.96,1143162.96
2016,GNFD,General Fund,0001ICT,Mgmt Services - Internal Control Task Force,5.42,Internal Control Task Force,QV,Contractual & Other Services,16445,0,24181.34,24181.34
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,9.99,Department Support,QM,Supplies & Materials,13450,0,23224.34,23224.34
2016,GNFD,General Fund,0001EBS,Building Services GF,3.11,Custodial Maintenance,QM,Supplies & Materials,242428,203.63,252949.71,253153.34
2016,GNFD,General Fund,0001PNV,Planning and Urban Design GF,2.27,Mobility Planning,RC,Capital Outlay,0,427467.52,32482.73,459950.25
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.04,Golf and Tennis Centers,PS,Personnel Services,2972725,0,2741650.26,2741650.26
2016,GNFD,General Fund,0001EBS,Building Services GF,9.99,Department Support,QM,Supplies & Materials,800,0,509.3,509.3
2016,GNFD,General Fund,0001DPD,Police Department GF,1.31,Police Special Operations,RE,Reimbursements,-11422336,0,-10973317.37,-10973317.37
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.26,Water Conservation,TR,Transfers Out,59911,0,0,0
2017,GNFD,General Fund,0001CTJ,Judiciary GF,1.04,Community Court,RE,Reimbursements,-32275,0,0,0
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.L,Internal Desktop Support,TR,Transfers Out,224446,0,0,0
2016,GNFD,General Fund,0001DPD,Police Department GF,1.21,Police Administrative Support,PS,Personnel Services,6828909,0,6571201.68,6571201.68
